id,tree_re,tree_im,ep0_re,ep0_im,epm1_re,epm1_im,epm2_re,epm2_im
76,-2.10659924398242689e-004,0.0000000000000000,3.19648972268458953e-004,1.89312398594047111e-004,5.55238854733486461e-005,1.65719145415506991e-005,5.27500423310839301e-006,-6.66592162507321744e-019
77,-3.27520104883917667e-004,0.0000000000000000,4.71874705866040479e-004,2.95074690079458462e-004,8.63248614830333834e-005,2.57649156841579396e-005,8.20122737940926158e-006,-4.65785782739059740e-020
78,4.45116651594880007e-004,-0.0000000000000000,-6.24510885011911408e-004,-4.02333064896939546e-004,-1.17319922409892343e-004,-3.50158443029242690e-005,-1.11458894144930429e-005,2.06271993285529066e-019
79,5.58230184675345383e-004,-0.0000000000000000,-7.70500638912007636e-004,-5.06661197249716824e-004,-1.47133390129926955e-004,-4.39141091711609826e-005,-1.39782950917809133e-005,7.56095375064235793e-021
80,6.61663387425444967e-004,-0.0000000000000000,-9.02788821510468989e-004,-6.03655617720930972e-004,-1.74395401734577665e-004,-5.20508546953405348e-005,-1.65683016338544476e-005,1.33555532728974254e-019
81,7.50261057396745890e-004,-0.0000000000000000,-1.01434384642836014e-003,-6.88949154218952936e-004,-1.97747194414876141e-004,-5.90205382740320507e-005,-1.87868208205584912e-005,1.30118802317762601e-019
82,8.18923917420087211e-004,-0.0000000000000000,-1.09816839305722377e-003,-7.58218446240155677e-004,-2.15844745655716238e-004,-6.44220167569591973e-005,-2.05061648216650950e-005,5.39441259774058148e-019
83,8.62612174037738228e-004,-0.0000000000000000,-1.14729259944874591e-003,-8.07181442277530594e-004,-2.27359711133285372e-004,-6.78588263804626217e-005,-2.16001353016013978e-005,-3.82997967332239944e-019
84,8.76333840220541878e-004,-0.0000000000000000,-1.15474154049629587e-003,-8.31579455254622020e-004,-2.30976346920864383e-004,-6.89382641518624756e-005,-2.19437310159023790e-005,7.98483243651837462e-019
85,8.55111234465224775e-004,-0.0000000000000000,-1.11346591956388045e-003,-8.27136069916434855e-004,-2.25382679616892702e-004,-6.72687524496409458e-005,-2.14123089359019739e-005,4.65883385417194437e-019
86,7.93916454652588560e-004,-0.0000000000000000,-1.01622043225125473e-003,-7.89481317181055372e-004,-2.09253499111495146e-004,-6.24547629602619804e-005,-1.98799684896195976e-005,2.10208661581393585e-019
87,6.87562335188781964e-004,-0.0000000000000000,-8.55367323021223591e-004,-7.14022907461100542e-004,-1.81221618033558431e-004,-5.40882386467046532e-005,-1.72168210875407958e-005,-1.70989906180887823e-019
88,5.30528205255542218e-004,-0.0000000000000000,-6.22571855213048964e-004,-5.95734894252813833e-004,-1.39831946644521055e-004,-4.17348867233627090e-005,-1.32846270429565699e-005,-6.34721831551169224e-019
89,3.16687356243551652e-004,-0.0000000000000000,-3.08339491743075272e-004,-4.28814278409278722e-004,-8.34696611085889714e-005,-2.49127394340253839e-005,-7.92997125365291259e-006,7.55241567675638750e-020
90,3.88808953346656875e-005,-0.0000000000000000,9.86823615679069096e-005,-2.06121332159691327e-004,-1.02478835773539139e-005,-3.05863052468190134e-006,-9.73592334038714932e-007,-2.43899748248568972e-020
91,3.11759028342490784e-004,-0.0000000000000000,-6.12759800615732286e-004,-8.17413458851909067e-005,-8.21706958935684720e-005,-2.45250442936076406e-005,-7.80656405781624869e-006,-2.78302042777796889e-019
