id,ct0_re,ct0_im
263,+9.39014e-4,+5.82172e-4
264,+1.56495e-3,+9.70242e-4
265,+2.30725e-3,+1.43045e-3
266,+3.18151e-3,+1.97248e-3
267,+4.21092e-3,+2.61069e-3
268,+5.43185e-3,+3.36765e-3
269,+6.90500e-3,+4.28098e-3
270,+8.73926e-3,+5.41818e-3
271,+1.11504e-2,+6.91307e-3
272,+1.46353e-2,+9.07360e-3
273,+2.06612e-2,+1.28096e-2
274,+3.64707e-2,+2.26112e-2
275,-2.12049e-4,-1.31466e-4
276,-4.12426e-4,-2.55696e-4
277,-5.91324e-4,-3.66610e-4
278,-7.39425e-4,-4.58430e-4
279,-8.47915e-4,-5.25692e-4
280,-9.08499e-4,-5.63253e-4
281,+9.13403e-4,+5.66293e-4
282,+8.55353e-4,+5.30304e-4
283,+7.27532e-4,+4.51056e-4
284,+5.23487e-4,+3.24552e-4
285,+2.36993e-4,+1.46931e-4
286,+1.38178e-4,+8.56679e-5
287,+6.08597e-4,+3.77319e-4
288,+1.18170e-3,+7.32630e-4
289,+1.86657e-3,+1.15724e-3
290,+2.67524e-3,+1.65860e-3
291,+3.62470e-3,+2.24725e-3
292,+4.74044e-3,+2.93899e-3
293,+6.06285e-3,+3.75886e-3
294,+7.65979e-3,+4.74893e-3
295,+9.65373e-3,+5.98513e-3
296,+1.22888e-2,+7.61883e-3
297,+1.61299e-2,+1.00002e-2
298,+2.28537e-2,+1.41689e-2
299,+4.07654e-2,+2.52738e-2
300,-2.26256e-4,-1.40274e-4
301,-4.37177e-4,-2.71042e-4
302,-6.22465e-4,-3.85917e-4
303,-7.72370e-4,-4.78855e-4
304,-8.77704e-4,-5.44160e-4
305,-9.29855e-4,-5.76493e-4
306,+9.20782e-4,+5.70868e-4
307,+8.42994e-4,+5.22641e-4
308,+6.89486e-4,+4.27469e-4
309,+4.53648e-4,+2.81253e-4
310,+1.29090e-4,+8.00336e-5
311,+2.90602e-4,+1.80168e-4
312,+8.12260e-4,+5.03586e-4
313,+1.44371e-3,+8.95073e-4
314,+2.19467e-3,+1.36065e-3
315,+3.07816e-3,+1.90840e-3
316,+4.11284e-3,+2.54988e-3
317,+5.32692e-3,+3.30260e-3
318,+6.76548e-3,+4.19447e-3
319,+8.50460e-3,+5.27270e-3
320,+1.06824e-2,+6.62287e-3
321,+1.35752e-2,+8.41637e-3
322,+1.78253e-2,+1.10514e-2
323,+2.53458e-2,+1.57139e-2
324,+4.56377e-2,+2.82946e-2
325,-2.42721e-4,-1.50482e-4
326,-4.66088e-4,-2.88966e-4
327,-6.59232e-4,-4.08712e-4
328,-8.11892e-4,-5.03359e-4
329,-9.14437e-4,-5.66934e-4
330,-9.57865e-4,-5.93859e-4
331,+9.33808e-4,+5.78944e-4
332,+8.34489e-4,+5.17368e-4
333,+6.52661e-4,+4.04638e-4
334,+3.81488e-4,+2.36516e-4
335,+1.43579e-5,+8.90162e-6
336,+4.55408e-4,+2.82345e-4
337,+1.03499e-3,+6.41673e-4
338,+1.73271e-3,+1.07425e-3
339,+2.55907e-3,+1.58658e-3
340,+3.52832e-3,+2.18749e-3
341,+4.66107e-3,+2.88978e-3
342,+5.98879e-3,+3.71294e-3
343,+7.56199e-3,+4.68830e-3
344,+9.46639e-3,+5.86899e-3
345,+1.18581e-2,+7.35181e-3
346,+1.50507e-2,+9.33119e-3
347,+1.97753e-2,+1.22603e-2
348,+2.82152e-2,+1.74929e-2
349,+5.12356e-2,+3.17652e-2
350,-2.62107e-4,-1.62502e-4
351,-5.00354e-4,-3.10210e-4
352,-7.03192e-4,-4.35966e-4
353,-8.59755e-4,-5.33033e-4
354,-9.59870e-4,-5.95102e-4
355,-9.94064e-4,-6.16302e-4
356,+9.53555e-4,+5.91187e-4
357,+8.30206e-4,+5.14713e-4
358,+6.16454e-4,+3.82190e-4
359,+3.05163e-4,+1.89196e-4
360,+1.10582e-4,+6.85586e-5
361,+6.37806e-4,+3.95428e-4
362,+1.28414e-3,+7.96142e-4
363,+2.05854e-3,+1.27626e-3
364,+2.97248e-3,+1.84289e-3
365,+4.04170e-3,+2.50578e-3
366,+5.28916e-3,+3.27918e-3
367,+6.75019e-3,+4.18499e-3
368,+8.48174e-3,+5.25852e-3
369,+1.05809e-2,+6.55994e-3
370,+1.32248e-2,+8.19911e-3
371,+1.67705e-2,+1.03974e-2
372,+2.20524e-2,+1.36721e-2
373,+3.15674e-2,+1.95712e-2
374,+5.77610e-2,+3.58108e-2
375,-2.85331e-4,-1.76900e-4
376,-5.41625e-4,-3.35798e-4
377,-7.56520e-4,-4.69028e-4
378,-9.18411e-4,-5.69398e-4
379,-1.01646e-3,-6.30190e-4
380,-1.04062e-3,-6.45168e-4
381,-9.81588e-4,-6.08566e-4
382,+8.30764e-4,+5.15059e-4
383,+5.80175e-4,+3.59698e-4
384,+2.22299e-4,+1.37821e-4
385,+2.50181e-4,+1.55108e-4
386,+8.44743e-4,+5.23725e-4
387,+1.56959e-3,+9.73119e-4
388,+2.43451e-3,+1.50935e-3
389,+3.45213e-3,+2.14026e-3
390,+4.64003e-3,+2.87673e-3
391,+6.02405e-3,+3.73480e-3
392,+7.64413e-3,+4.73922e-3
393,+9.56496e-3,+5.93010e-3
394,+1.18971e-2,+7.37596e-3
395,+1.48428e-2,+9.20227e-3
396,+1.88108e-2,+1.16623e-2
397,+2.47573e-2,+1.53491e-2
398,+3.55498e-2,+2.20402e-2
399,+6.54966e-2,+4.06067e-2
400,-3.13703e-4,-1.94490e-4
401,-5.92269e-4,-3.67196e-4
402,-8.22337e-4,-5.09834e-4
403,-9.91394e-4,-6.14646e-4
404,-1.08778e-3,-6.74406e-4
405,-1.10071e-3,-6.82422e-4
406,-1.02023e-3,-6.32522e-4
407,+8.37150e-4,+5.19017e-4
408,+5.42969e-4,+3.36631e-4
409,+1.29656e-4,+8.03844e-5
410,+4.10626e-4,+2.54581e-4
411,+1.08595e-3,+6.73268e-4
412,+1.90526e-3,+1.18123e-3
413,+2.87936e-3,+1.78515e-3
414,+4.02238e-3,+2.49380e-3
415,+5.35414e-3,+3.31947e-3
416,+6.90402e-3,+4.28037e-3
417,+8.71763e-3,+5.40477e-3
418,+1.08691e-2,+6.73862e-3
419,+1.34852e-2,+8.36059e-3
420,+1.67989e-2,+1.04150e-2
421,+2.12810e-2,+1.31938e-2
422,+2.80352e-2,+1.73813e-2
423,+4.03752e-2,+2.50319e-2
424,+7.48508e-2,+4.64062e-2
425,-3.49177e-4,-2.16484e-4
426,-6.55822e-4,-4.06598e-4
427,-9.05318e-4,-5.61281e-4
428,-1.08400e-3,-6.72062e-4
429,-1.17918e-3,-7.31069e-4
430,-1.17911e-3,-7.31028e-4
431,-1.07301e-3,-6.65247e-4
432,+8.50936e-4,+5.27565e-4
433,+5.03682e-4,+3.12274e-4
434,+2.25515e-5,+1.39815e-5
435,+6.00976e-4,+3.72594e-4
436,+1.37575e-3,+8.52937e-4
437,+2.31167e-3,+1.43319e-3
438,+3.42087e-3,+2.12087e-3
439,+4.71935e-3,+2.92591e-3
