0_5_re,integrand_re,0_2_im,0_4_re,0_0_re,rescaled_integrand_re,rescaled_integrand_im,0_5_im,0_3_re,0_1_im,deform_jac_im,0_3_im,0_0_im,param_jac,0_1_re,integrand_im,deform_jac_re,0_4_im,0_2_re
0.0,1697.965965145998,0.0,0.0,31582995.625344366,1.744772355237886e-08,1.9343357581982767e-10,0.0,0.0,69573777.97420841,-4.838329736971581e-14,0.0,-69573777.97420841,3.669002402711469e+46,-31582995.625344366,4669.406404150791,1.0,0.0,0.0
0.0,420.6002382616709,0.0,0.0,22281149.817563504,6.126230271800924e-09,1.9758032655658652e-10,0.0,0.0,49082860.56239913,-6.858202894709821e-14,0.0,-49082860.56239913,9.088422950985097e+45,-22281149.817563504,3364.801906091492,1.0,0.0,0.0
0.0,-625.1186261981339,0.0,0.0,15718869.447085982,-1.2906221455341648e-08,-5.2030680708671026e-11,0.0,0.0,34626896.88773658,-9.721312644229145e-14,0.0,-34626896.88773658,2.2512835833976992e+45,-15718869.447085982,-625.1186261980123,1.0,0.0,0.0
0.0,-412.92427402547924,0.0,0.0,11089353.587248875,-1.2084324825050103e-08,2.4358626137325316e-11,0.0,0.0,24428595.485961925,-1.3779710706757067e-13,0.0,-24428595.485961925,5.576599386546779e+44,-11089353.587248875,206.46213701281073,1.0,0.0,0.0
0.0,153.42700044729128,0.0,0.0,7823313.177861994,6.3645572158954655e-09,4.276390337508959e-11,0.0,0.0,17233876.752138447,-1.9532375718719954e-13,0.0,-17233876.752138447,1.381368563026072e+44,-7823313.177861994,255.7116674120389,1.0,0.0,0.0
0.0,101.34655166230539,0.0,0.0,5519198.78956714,5.959248183569771e-09,9.009135843197823e-12,0.0,0.0,12158172.573251933,-2.768665297404688e-13,0.0,-12158172.573251933,3.4217479655462986e+43,-5519198.78956714,38.004956873332524,1.0,0.0,0.0
0.0,-3.448275234097479e-11,0.0,0.0,3893686.237633737,-2.874085640310631e-21,-2.952394975140895e-11,0.0,0.0,8577351.718786161,-3.924511827385958e-13,0.0,-8577351.718786161,8.475928369090172e+42,-3893686.237633737,-87.86507432681911,1.0,0.0,0.0
0.0,-18.655579205153366,0.0,0.0,2746919.13423968,-2.2040519077889273e-09,2.0732849665710827e-11,0.0,0.0,6051153.102746821,-5.562894590945754e-13,0.0,-6051153.102746821,2.0995514612775728e+42,-2746919.13423968,43.5296848120914,1.0,0.0,0.0
0.0,9.242259950877681,0.0,0.0,1937897.0283489379,1.5477697680851372e-09,6.239743746248033e-12,0.0,0.0,4268968.631115579,-7.88525911539947e-13,0.0,-4268968.631115579,5.200749912919255e+41,-1937897.0283489376,9.242259950863104,1.0,0.0,0.0
0.0,-3.0525052910272015,0.0,0.0,1367147.8619054186,-7.246021888229266e-10,-3.651489444240749e-12,0.0,0.0,3011672.5767485746,-1.1177150322570703e-12,0.0,-3011672.5767485746,1.2882658065393982e+41,-1367147.8619054186,-3.8156316137752593,1.0,0.0,0.0
0.0,5.989798529756736e-13,0.0,0.0,964495.5708351134,2.0154423753312657e-22,5.128431821681326e-13,0.0,0.0,2124674.9837444187,-1.5843320001672429e-12,0.0,-2124674.9837444187,3.191134217827936e+40,-964495.5708351133,0.37806460572180894,1.0,0.0,0.0
0.0,1.1237936053610749,0.0,0.0,680432.6399895396,5.35994067529411e-10,7.202762968660854e-13,0.0,0.0,1498916.3788399813,-2.245749810829758e-12,0.0,-1498916.3788399813,7.90468122283505e+39,-680432.6399895394,0.3745978684508874,1.0,0.0,0.0
0.0,0.9279075608978057,0.0,0.0,480031.76643833483,6.273259798328638e-10,1.0116112719616722e-12,0.0,0.0,1057455.852182226,-3.1832923014327968e-12,0.0,-1057455.8521822265,1.9580499759459926e+39,-480031.76643833466,0.37116302435569587,1.0,0.0,0.0
0.0,-0.551639489040501,0.0,0.0,338652.9223106261,-5.286388308121301e-10,-1.2431863977230087e-12,0.0,0.0,746014.2008516211,-4.5122345960316445e-12,0.0,-746014.2008516217,4.8502392810193984e+38,-338652.9223106259,-0.3217897019369561,1.0,0.0,0.0
