x,0_0_im,0_0_re,0_1_im,0_1_re,0_2_im,0_2_re,0_3_im,0_3_re,0_4_im,0_4_re,0_5_im,0_5_re,deform_jac_im,deform_jac_re,integrand_im,integrand_re,param_jac,rescaled_integrand_im,rescaled_integrand_re
932603346883.218,2.4416492017721807e+22,6.93278736771047e+21,564350868.1529683,256186907.18143785,1.4903722962163537e+21,2.6369843729787047e+21,2.6255276765880487e+22,5.116350330723572e+21,1.0705053925870605e+22,7.593324480615951e+21,1.0356641473928848e+22,8.413871816608014e+21,0.0,1.0,41061946943249.53,62244694479331.59,1.5881306578483291e+50,0.2097221092818971,78.8581572232719
657933224657.5682,1.2151818213870256e+22,3.4503716482567116e+21,398116928.1278114,180725060.00993195,7.417418194826791e+20,1.3123979771540024e+21,1.306696105985484e+22,2.546351011124093e+21,5.327787021265671e+21,3.779113668761213e+21,5.154385994764163e+21,4.187491008782778e+21,0.0,1.0,2541783243618.8374,4310504957295.0747,3.9343448770534286e+49,0.018399733815499076,7.739996812734143
464158883361.2772,6.048035490300206e+21,1.7172714252393264e+21,280867981.2761839,127499935.7844065,3.691695160276948e+20,6.531886342873445e+20,6.50350777550032e+21,1.2673347325474785e+21,2.6516727309659144e+21,1.8808883731042436e+21,2.565369961793777e+21,2.0841403146998674e+21,0.0,1.0,2396548850192.0347,1362130844233.9136,9.745370184909216e+48,0.024591665629111758,3.4670498938244574
327454916287.7732,3.010114907768628e+21,8.546881588390585e+20,198145938.42461213,89948289.26483661,1.837361347285192e+20,3.2509280886443763e+20,3.236804039794176e+21,6.307540982013905e+20,1.319740869709667e+21,9.361205205904323e+20,1.2767878724128368e+21,1.0372792688172921e+21,0.0,1.0,426220992670.13165,306034103187.78455,2.4140238026681857e+48,0.0061993739446903175,1.1041356378824
231012970008.31583,1.4981535325206814e+21,4.253837888592495e+20,139790328.4332531,63457777.627432585,9.144665493825557e+19,1.618007800102265e+20,1.610978170228522e+21,3.1393036788514777e+20,6.568435114767773e+20,4.659131985851985e+20,6.354655287073319e+20,5.1626055762138674e+20,0.0,1.0,81139529.2368381,91299423132.40189,5.979525711876777e+47,1.6729187042512594e-06,0.4669280795503353
162975083462.06403,7.456313639670103e+20,2.1171361132988354e+20,98618472.15943247,44767825.83159551,4.551302157737105e+19,8.052828610094575e+19,8.017842125749784e+20,1.562432176113824e+20,3.269111694788927e+20,2.318851080414574e+20,3.162713424483943e+20,2.5694300042394678e+20,0.0,1.0,9542891407.36359,66959843741.686676,1.4811994399322575e+47,0.0002788881613111107,0.48540487508783947
114975699539.77356,3.711035415275775e+20,1.0537066270402832e+20,69573777.97420993,31582995.625341002,2.2652002462881194e+19,4.007923165439026e+19,3.990510260249995e+20,7.776283857852994e+19,1.6270492179013655e+20,1.1541009268150152e+20,1.5740943975566528e+20,1.27881500210425e+20,0.0,1.0,3086333153.9319887,13356420069.696772,3.669002402711469e+46,0.00012785360845987996,0.1372460519286536
81113083078.96889,1.8469898593142456e+20,5.244319272256204e+19,49082860.562400654,22281149.81756014,1.1273947607689263e+19,1.9947514952315466e+19,1.9860850569713055e+20,3.870272261343791e+19,8.097856985407368e+19,5.743983740164071e+19,7.834299769610607e+19,6.364688224485431e+19,0.0,1.0,1190287900.103474,3189218737.6327977,9.088422950985097e+45,6.989340786244886e-05,0.046452394926427824
57223676593.5022,9.192499984036938e+19,2.6101066328755122e+19,34626896.88773811,15718869.447082615,5.611062923874381e+18,9.927912162381296e+18,9.884779151565503e+19,1.9262410955434394e+19,4.030317212283532e+19,2.8587904894801584e+19,3.8991443371458675e+19,3.1677161683877868e+19,0.0,1.0,14510439.51971324,161274168.2792439,2.2512835833976992e+45,1.2077516393720953e-06,0.003329672231168226
40370172585.9655,4.575129303261783e+19,1.2990563352127742e+19,24428595.485963453,11089353.587245509,2.792639483278437e+18,4.941145709352268e+18,4.9196783063501005e+19,9.586948160647193e+18,2.0058985489663287e+19,1.4228268874636499e+19,1.9406134942082974e+19,1.5765799392519305e+19,0.0,1.0,18674685.777663197,231663187.17786688,5.576599386546779e+44,2.2032596178247387e-06,0.006779677001238693
28480358684.357933,2.27705168152612e+19,6.465431283842528e+18,17233876.752139978,7823313.177858628,1.3899026693649772e+18,2.4592188330357274e+18,2.4485344604473946e+19,4.771444692143193e+18,9.983400164528892e+18,7.081439980956193e+18,9.658475044698356e+18,7.846672222300409e+18,0.0,1.0,7618189.611593732,54625027.72208568,1.381368563026072e+44,1.2740268277174738e-06,0.002265990427653102
20092330025.65046,1.133294603745075e+19,3.2178621347549967e+18,12158172.573253462,5519198.789563773,6.917582098381815e+17,1.2239596736086577e+18,1.2186420333016214e+19,2.374760557939524e+18,4.968764488427384e+18,3.524451281567492e+18,4.807048402712259e+18,3.905309378366196e+18,0.0,1.0,1224368.1739264452,14515644.31060585,3.4217479655462986e+43,2.902384348903532e-07,0.0008535300468787067
14174741629.268078,5.640434382965436e+18,1.6015376906000458e+18,8577351.718787689,3893686.23763037,3.442897176580231e+17,6.091676606932164e+17,6.065210583764462e+18,1.181924016761649e+18,2.4729659850795126e+18,1.7541278431842765e+18,2.3924795019470884e+18,1.9436818300429893e+18,0.0,1.0,637768.0351273356,3620151.1748407073,8.475928369090172e+42,2.142993853521041e-07,0.000301734165662868
