x,0_0_im,0_0_re,0_1_im,0_1_re,0_2_im,0_2_re,0_3_im,0_3_re,0_4_im,0_4_re,0_5_im,0_5_re,deform_jac_im,deform_jac_re,integrand_im,integrand_re,param_jac,rescaled_integrand_im,rescaled_integrand_re
1.0722672220103254e-12,1.0772043621022207e-07,2.6774656074011776e-07,1.6990672984431976e-22,7.976092389236521e-22,1.897576148146564e-08,3.5982620434727216e-08,2.874061561237956e-13,8.456543132844443e-13,2.898686389572253e-14,6.431874718193631e-16,3.21862928450158e-14,3.281165770034906e-15,0.0,1.0,18830.928816013417,5502.054611721653,16.490227693052592,1.2244699166845212e-09,8.874438412604826e-08
1.5199110829529332e-12,1.2824896276662776e-07,3.1877178077012033e-07,2.4083999235939495e-22,1.1305872242980706e-21,2.259214203657439e-08,4.2840214061787686e-08,4.073823555039558e-13,1.1987027870092203e-12,4.1088138557944335e-14,9.1170999843542e-16,4.562324285237783e-14,4.651020010590378e-15,0.0,1.0,15816.599885581005,4621.305833529075,16.490227693210453,1.4578225302871118e-09,1.0565640881021256e-07
2.1544346900318868e-12,1.5268966594291303e-07,3.795210787623295e-07,3.413871544255395e-22,1.6025726710303036e-21,2.6897724553042543e-08,5.100473966723782e-08,5.774397114524844e-13,1.6991465101543384e-12,5.824138817705377e-14,1.292339501022395e-15,6.466977530338775e-14,6.592788970722593e-15,0.0,1.0,13284.787856490093,3881.544038979923,16.490227693434218,1.7356466108186295e-09,1.2579135752387142e-07
3.0538555088334124e-12,1.8178805768850857e-07,4.518475206267305e-07,4.839120070138875e-22,2.2715960594410936e-21,3.2023857945063015e-08,6.072528501218107e-08,8.184818201269452e-13,2.408523752155542e-12,8.255568551469986e-14,1.8318817054984936e-15,9.166774798692549e-14,9.345257000753332e-15,0.0,1.0,11158.25180730304,3260.199471767578,16.490227693751393,2.066417115853106e-09,1.4976337214961444e-07
4.328761281083061e-12,2.164317058722829e-07,5.379572818154013e-07,6.859404221851598e-22,3.2199130348886458e-21,3.8126924082553224e-08,7.229841454879816e-08,1.1601362436185041e-12,3.414066556083135e-12,1.1702058929365442e-13,2.5966852419968e-15,1.2993668522415775e-13,1.3246911753490983e-14,0.0,1.0,9372.116424649277,2738.315873785283,16.490227694200982,2.4602240462144307e-09,1.7830360874021694e-07
6.135907273413188e-12,2.576772974464338e-07,6.404769229352546e-07,9.72315744619595e-22,4.5641170585977555e-21,4.53931088943081e-08,8.607722011272679e-08,1.644394652671236e-12,4.8394293815810786e-12,1.6587372610829546e-13,3.680802174834426e-15,1.8418192935668176e-13,1.8777579430346305e-14,0.0,1.0,7871.891993790164,2299.9717719475166,16.490227694838264,2.9290801942861743e-09,2.1228252584683934e-07
8.697490026177835e-12,3.0678285503380183e-07,7.625334785961222e-07,1.378254248244956e-21,6.469473327200323e-21,5.404408291355095e-08,1.0248209753028069e-07,2.330771337058571e-12,6.8598981616010995e-12,2.3512182950319034e-13,5.217556630424689e-15,2.6107318560309915e-13,2.661744970750406e-14,0.0,1.0,6611.811584233177,1931.7945186353113,16.490227695741595,3.487287523851803e-09,2.5273641539588244e-07
1.2328467394420634e-11,3.65246088061817e-07,9.078497984761896e-07,1.95367658022951e-21,9.170235886613636e-21,6.434376459470791e-08,1.2201357863455232e-07,3.3036130705459806e-12,9.723951249225018e-12,3.332793014599085e-13,7.395945201331618e-15,3.7006459557182755e-13,3.773075561307358e-14,0.0,1.0,5553.434561266307,1622.552195535124,16.49022769702204,4.1518733502985194e-09,3.008989830700621e-07
1.747528400007683e-11,4.348500445587748e-07,1.080858042454497e-06,2.769348168196204e-21,1.2998445187084771e-20,7.660637292330659e-08,1.4526761096490284e-07,4.682456959575352e-12,1.3783825724612313e-11,4.724151076904674e-13,1.048388776236528e-14,5.245571721781858e-13,5.348441049074049e-14,0.0,1.0,4664.473723947258,1362.8108814847399,16.490227698837053,4.9431096116776414e-09,3.582389370351596e-07
2.4770763559917138e-11,5.177174521084431e-07,1.286834783145335e-06,3.925584265513628e-21,1.8424745461916577e-20,9.120601511015618e-08,1.7295375262718422e-07,6.636706189085055e-12,1.9538851469738635e-11,6.696367305200675e-13,1.486119109046904e-14,7.435465243132546e-13,7.581621147666724e-14,0.0,1.0,3917.8102391111906,1144.6468086297073,16.49022770140977,5.8851310523352606e-09,4.2650472638422484e-07
